College,Geographic Location,city_lat,city_lon,ann_rain_inch,ann_snow_inch,min_jan,min_feb,min_mar,min_apr,min_may,min_jun,min_jul,min_aug,min_sep,min_oct,min_nov,min_dec,max_jan,max_feb,max_mar,max_apr,max_may,max_jun,max_jul,max_aug,max_sep,max_oct,max_nov,max_dec
LSU,"Baton Rouge, LA",30.4459596,-91.18738,61.77,0.02,37.2,40.6,47.1,53.3,61.7,68.1,70.5,70.4,65.2,54.3,46.1,39.0,60.6,64.6,72.0,78.5,85.5,90.5,92.0,92.3,88.9,80.8,71.4,62.7
Mars Hill,"Mars Hill, NC",35.8263793,-82.5486848,42.55,0.73,22.5,25.1,30.7,37.9,47.2,56.3,60.5,59.8,52.5,40.5,31.3,25.0,46.2,50.2,58.5,67.9,75.3,81.9,84.8,84.2,78.5,69.3,59.2,48.3
Marshall,"Huntington, WV",38.4192496,-82.445154,47.35,1.83,24.7,26.7,33.4,42.7,52.5,62.1,66.2,64.7,56.6,44.5,36.0,28.6,43.2,47.1,56.8,68.6,76.4,84.2,87.3,86.6,80.2,70.0,58.1,46.1
Maryland,"College Park, MD",38.980666,-76.9369189,41.84,0.8,26.2,28.5,35.0,44.5,54.2,64.1,69.4,66.9,59.6,47.0,38.0,30.2,43.4,47.4,55.5,67.0,76.4,84.8,88.7,87.4,80.4,69.1,58.7,46.9
Massachusetts,"Amherst, MA",42.3685658,-72.505714,49.83,4.73,13.2,15.9,24.3,34.5,44.7,54.6,59.2,57.6,49.2,37.5,29.6,19.9,33.1,37.1,45.3,58.3,69.2,77.6,82.2,80.7,73.3,61.5,49.4,37.9
McNeese State,"Lake Charles, LA",30.2265949,-93.2173759,49.8,0.17,31.0,34.2,41.3,48.6,58.2,66.1,69.6,68.5,61.0,49.4,40.9,33.4,54.3,58.4,67.2,75.0,82.1,88.6,91.7,92.2,86.5,76.6,65.7,55.8
Memphis,"Memphis, TN",35.1490215,-90.0516285,53.4,0.17,29.9,33.4,43.0,52.1,61.3,68.9,72.6,71.2,62.4,51.3,42.1,32.7,47.8,52.8,62.0,71.9,79.9,87.0,90.4,90.0,83.5,73.2,61.4,50.4
Miami,"Miami, FL",25.7742658,-80.1936589,51.73,0.0,59.9,62.3,64.9,68.3,72.9,76.0,77.3,77.4,76.5,73.5,68.1,63.0,76.4,78.1,80.3,83.2,87.0,89.5,90.9,91.0,89.3,86.2,81.7,77.9
Miami (FL),"Miami, FL",25.7742658,-80.1936589,51.73,0.0,59.9,62.3,64.9,68.3,72.9,76.0,77.3,77.4,76.5,73.5,68.1,63.0,76.4,78.1,80.3,83.2,87.0,89.5,90.9,91.0,89.3,86.2,81.7,77.9
Miami (OH),"Miami, OH",40.0580258,-84.2236524,42.1,1.86,19.6,22.5,30.9,40.9,51.9,61.1,64.9,62.8,55.4,44.0,34.0,23.6,35.3,40.5,50.8,63.4,73.3,81.5,84.9,83.4,77.5,65.6,52.2,39.3
Michigan,"Ann Arbor, MI",42.2681569,-83.7312291,36.42,3.67,16.4,16.8,24.9,36.3,47.1,56.6,61.1,59.4,51.2,39.1,31.3,21.5,31.3,34.8,44.5,59.3,69.3,77.5,81.8,79.6,73.2,61.6,48.3,35.5
Michigan St.,"East Lansing, MI",42.7355416,-84.4852469,35.59,4.13,17.1,18.7,26.9,37.9,48.0,57.6,61.2,59.9,51.5,41.2,32.9,22.4,30.5,33.7,44.1,57.5,68.9,78.5,82.2,80.6,73.5,60.5,47.5,34.9
Michigan State,"East Lansing, MI",42.7355416,-84.4852469,35.59,4.13,17.1,18.7,26.9,37.9,48.0,57.6,61.2,59.9,51.5,41.2,32.9,22.4,30.5,33.7,44.1,57.5,68.9,78.5,82.2,80.6,73.5,60.5,47.5,34.9
Middle Tennessee St.,"Murfreesboro, TN",35.845999,-86.3920452,55.69,0.46,25.4,28.1,35.5,43.9,53.4,62.5,66.6,65.1,57.0,44.8,36.5,28.5,48.2,52.7,61.8,71.3,79.2,86.7,90.0,90.1,84.0,73.3,62.3,51.0
Middle Tennessee State,"Murfreesboro, TN",35.845999,-86.3920452,55.69,0.46,25.4,28.1,35.5,43.9,53.4,62.5,66.6,65.1,57.0,44.8,36.5,28.5,48.2,52.7,61.8,71.3,79.2,86.7,90.0,90.1,84.0,73.3,62.3,51.0
Minnesota,"Minneapolis, MN",44.9772995,-93.2654692,31.16,3.78,7.5,12.7,24.4,38.0,50.1,59.8,65.2,63.3,54.2,41.0,27.1,12.1,24.5,29.3,42.1,59.0,71.5,81.4,86.1,83.5,74.0,58.9,41.1,26.9
Minnesota-Morris,"Morris, MN",45.586072,-95.913941,25.38,4.06,0.2,5.4,19.0,32.9,45.4,55.5,59.5,56.6,46.9,34.0,20.6,6.2,19.7,24.5,36.7,54.8,68.3,77.0,81.2,79.6,71.0,56.8,38.6,23.7
Mississippi,"Oxford, MS",34.3664127,-89.5187664,58.16,0.05,29.6,33.1,40.3,48.4,58.5,66.7,70.3,69.0,61.0,48.7,40.5,32.3,51.4,56.2,65.0,73.6,81.4,88.4,91.2,91.1,85.4,75.2,64.6,53.8
Mississippi St.,"Starkville, MS",33.4503998,-88.8183872,55.62,0.0,30.8,34.2,41.3,49.7,59.3,67.1,70.7,69.2,61.7,49.6,41.2,33.5,53.4,58.1,66.3,74.4,82.0,88.6,91.5,91.4,85.8,76.0,65.8,56.0
Mississippi State,"Starkville, MS",33.4503998,-88.8183872,55.62,0.0,30.8,34.2,41.3,49.7,59.3,67.1,70.7,69.2,61.7,49.6,41.2,33.5,53.4,58.1,66.3,74.4,82.0,88.6,91.5,91.4,85.8,76.0,65.8,56.0
Missouri,"Columbia, MO",38.951883,-92.3337366,41.3,1.62,22.4,26.0,35.1,45.7,55.2,64.6,68.8,67.2,58.1,46.6,36.7,25.2,39.7,45.0,56.0,66.8,75.2,84.5,89.6,88.3,79.9,68.0,54.9,42.0
Missouri Southern,"Joplin, MO",37.08418,-94.51323,46.55,0.57,8.9,12.0,20.8,29.8,39.4,46.9,52.2,51.0,41.0,30.8,19.3,9.5,30.7,34.5,44.1,56.4,66.4,74.0,82.9,82.2,70.4,57.4,40.5,30.3
Missouri Western,"St. Joseph, MO",39.7686055,-94.8466322,37.23,1.78,17.4,21.6,31.4,42.5,53.3,63.3,67.1,64.3,54.0,42.5,31.0,19.7,37.1,42.3,54.5,65.8,75.4,84.0,87.0,86.3,79.1,67.0,52.9,39.2
Montana,"Missoula, MT",46.8701049,-113.9952672,18.29,11.18,19.2,21.7,27.8,33.1,40.0,46.5,51.6,50.8,42.7,33.6,25.7,17.4,33.9,39.3,48.7,56.9,65.5,73.3,83.6,82.9,71.6,56.6,40.7,31.4
Montana St,"Bozeman, MT",45.6794293,-111.0440474,20.19,5.59,14.1,16.3,23.2,30.0,38.0,44.8,50.8,49.2,41.0,31.8,21.6,12.7,36.0,39.1,47.8,56.8,65.4,73.8,83.4,83.0,72.3,59.4,43.3,34.1
Montana State,"Bozeman, MT",45.6794293,-111.0440474,20.19,5.59,14.1,16.3,23.2,30.0,38.0,44.8,50.8,49.2,41.0,31.8,21.6,12.7,36.0,39.1,47.8,56.8,65.4,73.8,83.4,83.0,72.3,59.4,43.3,34.1
Morgan State,"Baltimore, MD",39.284749399999995,-76.62047463969989,43.37,0.8,31.8,34.1,40.1,50.8,60.9,70.7,75.0,73.1,65.3,54.1,43.6,34.8,46.4,49.1,58.6,69.4,79.4,88.8,92.1,89.9,82.5,71.4,60.5,49.7
Navy,"Annapolis, MD",38.9786401,-76.492786,45.2,1.57,29.2,31.1,38.3,47.5,56.7,66.6,71.4,70.6,63.6,51.6,41.5,32.8,44.5,48.2,56.6,68.2,77.0,85.6,89.5,87.5,80.9,69.2,58.9,48.3
Nebraska,"Lincoln, NE",40.8088861,-96.7077751,28.95,2.21,13.7,18.2,27.8,38.7,50.2,61.1,66.9,63.7,53.5,40.7,28.2,17.1,35.1,39.6,51.5,63.6,73.6,83.7,88.6,85.9,78.2,66.1,50.8,37.1
Nevada,"Reno, NV",39.5261206,-119.8126581,22.43,0.09,25.4,28.2,32.7,36.4,44.2,52.0,61.3,58.6,50.5,40.6,32.3,25.6,43.2,47.8,55.3,61.9,71.3,81.4,90.8,88.5,79.3,66.3,52.2,43.0
New Mexico,"Albuquerque, NM",35.0841034,-106.6509851,10.21,2.65,26.1,30.3,35.7,43.0,52.5,61.6,66.4,65.1,57.9,46.1,34.1,26.5,46.8,52.5,60.5,69.0,78.8,88.3,90.1,87.2,80.7,69.0,55.8,46.1
New Mexico St.,"Las Cruces, NM",32.3140354,-106.7798078,9.52,0.04,29.1,32.7,38.2,44.9,53.7,62.4,68.0,66.8,59.9,47.4,35.7,29.1,58.6,63.5,70.1,77.8,86.8,94.8,94.9,92.1,87.7,78.6,67.3,57.8
New Mexico State,"Las Cruces, NM",32.3140354,-106.7798078,9.52,0.04,29.1,32.7,38.2,44.9,53.7,62.4,68.0,66.8,59.9,47.4,35.7,29.1,58.6,63.5,70.1,77.8,86.8,94.8,94.9,92.1,87.7,78.6,67.3,57.8
Nicholls State,"Thibodaux, LA",29.7957633,-90.822871,63.9,0,42.2,45.8,51.3,57.8,65.7,71.2,73.2,72.7,68.7,58.9,51.4,44.3,62.7,65.8,72.2,78.5,85.3,89.3,91.0,91.1,87.7,80.6,72.7,65.3
Norfolk State,"Norfolk, VA",36.8889933,-76.2481624,48.54,0.31,32.9,34.2,40.3,48.7,57.4,66.9,71.0,69.6,63.3,52.7,43.3,34.9,48.6,52.3,60.0,70.1,78.3,85.0,89.1,86.3,80.9,71.2,61.9,52.4
North Alabama,"Florence, AL",34.79981,-87.677251,53.2,0.04,29.1,31.9,39.4,48.3,56.9,64.3,68.3,67.4,60.2,48.0,39.6,32.5,49.7,54.0,63.5,71.7,79.5,86.6,89.4,90.1,83.6,73.3,62.5,52.5
North Carolina,"Chapel Hill, NC",35.9131542,-79.05578,47.35,0.23,28.6,30.8,37.5,46.1,54.9,64.0,67.8,66.7,59.5,47.1,38.2,31.1,49.6,53.7,61.7,71.1,78.3,85.7,89.0,87.5,81.2,71.6,62.7,52.6
North Carolina A&T,"Greensboro, NC",36.0726355,-79.7919754,46.1,0.18,29.5,32.4,39.1,47.3,56.1,65.3,69.1,68.0,60.6,48.8,39.6,32.0,48.3,52.5,60.9,70.2,77.5,84.8,87.9,86.3,79.7,70.3,60.8,50.7
North Carolina Central,"Durham, NC",35.996653,-78.9018053,47.31,0.3,27.1,29.4,35.3,43.6,53.9,63.5,68.1,66.4,58.9,46.2,37.2,29.4,48.5,52.6,61.4,70.5,77.2,84.1,87.1,85.7,79.3,69.8,60.9,51.8
North Carolina St.,"Raleigh, NC",35.7803977,-78.6390989,46.22,0.23,30.0,32.2,39.2,47.7,56.5,65.5,69.3,68.1,61.3,49.5,41.1,32.9,50.9,55.0,62.9,72.4,79.9,87.2,90.1,88.5,82.3,72.5,63.4,53.8
North Carolina State,"Raleigh, NC",35.7803977,-78.6390989,46.22,0.23,30.0,32.2,39.2,47.7,56.5,65.5,69.3,68.1,61.3,49.5,41.1,32.9,50.9,55.0,62.9,72.4,79.9,87.2,90.1,88.5,82.3,72.5,63.4,53.8
North Dakota St,"Fargo, ND",46.877229,-96.789821,24.73,2.82,0.2,5.0,18.8,33.2,46.4,56.0,60.8,58.9,48.9,35.4,21.2,6.2,18.3,23.5,36.4,55.9,69.1,77.4,82.4,81.4,70.8,55.5,36.9,22.0
North Dakota State,"Fargo, ND",46.877229,-96.789821,24.73,2.82,0.2,5.0,18.8,33.2,46.4,56.0,60.8,58.9,48.9,35.4,21.2,6.2,18.3,23.5,36.4,55.9,69.1,77.4,82.4,81.4,70.8,55.5,36.9,22.0
North Texas,"Denton, TX",33.1838787,-97.1413417,38.67,0.1,33.0,36.3,43.6,52.4,62.6,70.1,73.6,73.2,65.5,54.5,43.8,34.7,55.8,59.4,67.5,75.6,82.9,90.5,95.3,95.7,87.8,77.5,66.3,56.6
Northern Arizona,"Flagstaff, AZ",35.1987522,-111.6518229,23.16,7.44,17.3,19.3,23.6,28.5,35.0,41.9,50.9,50.1,42.0,31.5,22.9,16.8,42.5,44.8,50.4,58.2,68.1,77.9,81.2,78.4,72.9,62.0,50.5,42.5
Northern Colorado,"Greeley, CO",40.4233142,-104.7091322,14.69,4.72,16.6,20.0,27.6,35.1,44.6,53.1,58.6,56.9,47.6,36.0,25.3,16.6,46.0,50.0,60.0,67.9,77.3,87.3,93.8,91.4,83.0,69.7,55.1,44.7
Northern Illinois,"DeKalb, IL",41.8903447,-88.7713953,36.98,2.71,12.8,16.8,27.0,37.7,48.5,58.9,62.9,61.0,52.3,40.2,29.7,17.2,27.9,32.8,44.9,59.0,70.3,80.0,83.3,81.3,74.5,61.9,46.4,31.9
Northern Iowa,"Cedar Falls, IA",42.5274123,-92.4453179,36.29,3.43,9.5,14.6,26.0,37.2,49.0,58.9,62.8,60.2,50.7,38.7,26.8,13.5,27.4,32.2,45.6,60.6,72.0,81.2,84.4,82.2,75.3,61.9,45.9,30.8
Northwestern,"Evanston, IL",42.0447388,-87.6930459,37.75,3.49,17.7,21.3,29.1,39.3,48.9,58.8,64.7,64.2,55.9,44.0,33.4,21.9,32.1,36.4,46.9,58.9,69.8,79.1,83.4,82.2,75.1,62.7,49.1,36.1
Northwestern St. (LA),"Natchitoches, LA",31.7606732,-93.0860209,54.61,0.06,37.5,40.6,47.1,54.5,64.2,71.5,74.7,73.8,67.0,55.6,46.7,39.2,58.2,62.6,70.2,78.0,85.2,90.9,93.7,94.3,88.6,79.4,69.2,60.2
Northwestern State,"Natchitoches, LA",31.7606732,-93.0860209,54.61,0.06,37.5,40.6,47.1,54.5,64.2,71.5,74.7,73.8,67.0,55.6,46.7,39.2,58.2,62.6,70.2,78.0,85.2,90.9,93.7,94.3,88.6,79.4,69.2,60.2
Notre Dame,"Notre Dame, IN",41.704567749999995,-86.23822026017265,40.97,2.64,17.6,20.5,28.4,38.6,48.6,58.7,63.1,61.7,53.7,42.6,33.3,22.4,31.3,35.1,46.5,59.5,70.0,79.4,82.9,80.9,74.0,61.7,48.2,35.2
Ohio,"Athens, OH",39.355589,-82.0610404,39.37,0.69,20.6,22.8,30.2,39.3,48.8,58.5,62.8,61.3,53.0,41.2,32.7,25.0,37.4,41.6,51.8,64.0,72.1,80.0,82.9,82.2,75.6,64.7,53.0,41.0
Ohio St.,"Columbus, OH",39.9622601,-83.0007065,40.18,1.41,18.6,21.4,28.9,39.9,50.3,59.8,63.6,61.3,53.5,41.3,32.4,23.4,37.0,42.0,52.1,65.1,74.8,83.4,86.3,85.0,79.1,67.0,54.3,41.5
Ohio State,"Columbus, OH",39.9622601,-83.0007065,40.18,1.41,18.6,21.4,28.9,39.9,50.3,59.8,63.6,61.3,53.5,41.3,32.4,23.4,37.0,42.0,52.1,65.1,74.8,83.4,86.3,85.0,79.1,67.0,54.3,41.5
Oklahoma,"Norman, OK",35.2225717,-97.4394816,36.6,0.15,26.9,29.8,38.4,47.9,59.0,67.0,71.2,70.0,61.9,49.2,38.5,29.4,48.8,53.7,62.5,71.4,79.2,86.3,92.3,92.3,84.0,72.9,61.0,50.3
Oklahoma St.,"Stillwater, OK",36.1156306,-97.0585717,38.35,0.82,23.0,27.2,36.1,45.0,56.0,64.9,69.4,68.2,58.8,46.5,35.8,25.5,48.8,53.0,61.8,71.9,79.3,87.3,92.9,93.3,84.8,73.6,61.3,49.8
Oklahoma State,"Stillwater, OK",36.1156306,-97.0585717,38.35,0.82,23.0,27.2,36.1,45.0,56.0,64.9,69.4,68.2,58.8,46.5,35.8,25.5,48.8,53.0,61.8,71.9,79.3,87.3,92.9,93.3,84.8,73.6,61.3,49.8
Old Dominion,"Norfolk, VA",36.8889933,-76.2481624,48.54,0.31,32.9,34.2,40.3,48.7,57.4,66.9,71.0,69.6,63.3,52.7,43.3,34.9,48.6,52.3,60.0,70.1,78.3,85.0,89.1,86.3,80.9,71.2,61.9,52.4
Oregon,"Eugene, OR",44.0505054,-123.0950506,47.04,0.25,34.2,34.8,37.1,39.5,43.5,47.6,51.4,51.1,47.0,41.2,37.6,33.8,47.2,51.1,56.2,60.8,67.0,73.2,82.3,82.8,76.9,64.2,52.2,45.6
Oregon St.,"Corvallis, OR",44.5645659,-123.2620435,89.75,1.6,34.2,34.7,37.3,39.6,44.1,48.5,51.8,51.1,47.7,41.7,37.9,33.4,47.1,50.9,56.1,60.8,67.2,73.2,81.7,82.6,77.0,64.7,52.6,45.8
Oregon State,"Corvallis, OR",44.5645659,-123.2620435,89.75,1.6,34.2,34.7,37.3,39.6,44.1,48.5,51.8,51.1,47.7,41.7,37.9,33.4,47.1,50.9,56.1,60.8,67.2,73.2,81.7,82.6,77.0,64.7,52.6,45.8
Penn St.,"State College, PA",40.7944504,-77.8616386,42.52,2.06,20.2,21.7,28.2,39.3,49.3,58.7,62.6,61.0,53.1,42.1,33.9,24.8,34.2,37.5,46.4,59.8,69.7,77.9,81.6,80.2,72.3,61.2,49.8,38.1
Penn State,"University Park, PA",40.8087493,-77.8585662,42.52,2.06,20.2,21.7,28.2,39.3,49.3,58.7,62.6,61.0,53.1,42.1,33.9,24.8,34.2,37.5,46.4,59.8,69.7,77.9,81.6,80.2,72.3,61.2,49.8,38.1
Pittsburgh,"Pittsburgh, PA",40.4416941,-79.9900861,37.97,2.82,20.8,21.9,29.6,38.6,50.8,60.6,65.7,63.4,55.3,44.2,34.4,25.2,37.1,40.1,49.8,61.9,71.2,79.4,83.2,81.9,75.4,63.7,52.8,40.7
Portland State,"Portland, OR",45.5202471,-122.6741949,42.85,0.18,37.2,40.0,43.3,46.5,53.5,60.0,63.0,60.6,57.0,50.3,42.3,36.9,55.2,61.0,66.5,72.7,81.0,88.6,94.0,92.9,89.1,78.6,64.1,55.2
Purdue,"West Lafayette, IN",40.4258686,-86.9080655,39.35,2.34,15.0,17.9,25.4,37.1,47.0,58.5,62.5,60.5,53.4,41.0,31.7,20.1,38.0,42.5,54.6,68.1,77.2,87.2,90.5,88.5,81.6,68.1,54.7,40.1
Rice,"Houston, TX",29.7589382,-95.3676974,53.5,0.0,42.6,46.1,53.3,60.0,68.1,74.2,76.1,75.5,69.8,61.0,52.3,44.3,61.9,65.4,71.5,77.6,84.0,89.2,91.4,92.4,88.2,81.0,71.9,63.8
Richmond,"Richmond, VA",37.5385087,-77.43428,44.84,1.65,28.3,30.5,37.1,46.1,55.0,64.5,68.9,67.4,60.1,48.3,39.4,31.4,47.4,51.3,60.0,70.3,77.9,86.1,89.7,87.6,81.2,71.0,61.4,50.7
Rutgers,"Piscataway, NJ",40.5462553,-74.4660408,48.93,1.79,23.0,25.2,31.8,41.0,50.3,60.0,65.3,63.7,56.1,44.5,36.3,27.8,39.3,43.0,52.4,63.9,73.9,82.5,86.9,85.2,77.9,65.7,54.7,43.3
Sam Houston State,"Huntsville, TX",30.7235263,-95.5507771,46.8,0.02,39.7,42.9,49.5,56.6,64.7,70.9,73.1,72.9,67.6,58.7,49.6,41.4,59.2,62.9,70.3,77.8,84.6,90.3,93.3,94.1,88.4,79.7,69.5,60.6
Samford,"Homewood, AL",33.4717732,-86.8008228,58.91,0.08,33.8,37.1,43.7,50.5,59.7,67.7,71.4,70.8,64.3,52.9,43.5,36.3,53.8,58.4,66.7,74.4,81.5,87.7,90.8,90.6,85.1,75.3,65.4,55.9
San Diego,"San Diego, CA",32.7174209,-117.1627714,10.34,0.0,49.0,50.7,53.2,55.9,59.4,62.0,65.4,66.7,65.2,60.6,53.6,48.4,65.1,65.0,65.6,67.5,68.5,70.8,74.6,76.4,75.9,72.8,69.0,64.7
San Diego St.,"San Diego, CA",32.7174209,-117.1627714,10.34,0.0,49.0,50.7,53.2,55.9,59.4,62.0,65.4,66.7,65.2,60.6,53.6,48.4,65.1,65.0,65.6,67.5,68.5,70.8,74.6,76.4,75.9,72.8,69.0,64.7
San Diego State,"San Diego, CA",32.7174209,-117.1627714,10.34,0.0,49.0,50.7,53.2,55.9,59.4,62.0,65.4,66.7,65.2,60.6,53.6,48.4,65.1,65.0,65.6,67.5,68.5,70.8,74.6,76.4,75.9,72.8,69.0,64.7
San Jose St,"San Jose, CA",37.3361905,-121.8905833,15.82,0.0,42.0,44.7,46.6,48.6,52.4,56.0,58.1,58.3,56.8,52.5,46.0,41.9,58.1,61.9,65.7,69.3,74.3,79.1,81.9,81.9,80.1,74.0,64.3,58.0
San Jose St.,"San Jose, CA",37.3361905,-121.8905833,15.82,0.0,42.0,44.7,46.6,48.6,52.4,56.0,58.1,58.3,56.8,52.5,46.0,41.9,58.1,61.9,65.7,69.3,74.3,79.1,81.9,81.9,80.1,74.0,64.3,58.0
San Jose State,"San Jose, CA",37.3361905,-121.8905833,15.82,0.0,42.0,44.7,46.6,48.6,52.4,56.0,58.1,58.3,56.8,52.5,46.0,41.9,58.1,61.9,65.7,69.3,74.3,79.1,81.9,81.9,80.1,74.0,64.3,58.0
Savannah State,"Savannah, GA",32.0809263,-81.0911768,50.31,0.01,38.6,41.7,47.6,53.6,62.1,69.8,72.8,72.4,67.8,57.5,47.9,40.8,60.4,64.3,70.9,77.6,84.6,89.9,92.4,90.6,86.0,78.4,70.6,62.5
Shepherd,"Shepherdstown, WV",39.4300996,-77.804161,41.01,3.26,20.7,22.6,29.6,38.2,48.1,57.9,61.7,60.1,52.9,41.1,32.8,23.7,40.9,43.9,52.9,64.3,74.1,82.5,86.6,85.4,78.3,68.2,56.2,43.6
SMU,"Dallas, TX",32.7762719,-96.7968559,40.55,0.1,37.3,41.1,48.5,56.2,65.4,72.8,76.7,76.8,69.0,58.2,47.6,38.5,56.8,60.8,68.7,76.7,84.2,91.6,96.0,96.4,88.7,78.5,67.1,57.5
South Alabama,"Mobile, AL",30.6943566,-88.0430541,65.28,0.0,40.4,43.8,49.8,56.7,64.7,71.4,73.7,73.6,69.7,59.1,49.8,43.4,60.0,63.2,69.8,76.1,83.0,88.2,90.4,90.5,87.3,79.4,70.3,61.9
South Carolina,"Columbia, SC",34.0007493,-81.0343313,45.47,0.04,37.4,40.9,46.8,54.2,62.5,70.0,73.1,72.4,66.6,55.4,46.5,39.2,58.2,63.0,71.1,79.6,86.6,92.4,95.0,93.1,87.9,78.5,69.2,60.1
South Carolina State,"Orangeburg, SC",33.4918203,-80.8556476,45.79,0.03,33.5,36.5,42.7,49.7,58.6,67.2,70.2,69.7,63.7,52.4,42.4,35.3,55.4,59.5,66.8,74.4,81.8,87.6,90.0,88.8,83.6,75.0,66.8,57.9
South Dakota St.,"Brookings, SD",44.3763598,-96.7925213,26.74,4.07,2.9,8.1,20.6,32.7,44.6,54.8,59.1,56.8,47.0,33.8,21.1,7.4,22.9,27.8,39.4,55.4,67.5,76.6,81.6,79.7,71.1,57.7,40.2,26.0
South Florida,"Tampa, FL",27.9477595,-82.458444,52.84,0.0,51.6,54.4,58.2,63.0,69.7,74.8,75.9,76.2,74.5,68.0,60.3,54.2,69.9,72.5,76.3,81.0,87.2,89.6,90.1,90.2,88.9,84.3,78.0,72.0
Southeastern Louisiana,"Hammond, LA",41.5833658,-87.500043,37.33,2.71,19.8,22.9,30.9,42.2,51.7,61.9,69.5,68.6,61.1,49.2,37.5,24.9,32.2,36.4,45.8,56.9,67.8,77.1,83.4,81.5,74.5,62.8,49.2,36.3
Southern,"Baton Rouge, LA",30.4459596,-91.18738,61.77,0.02,37.2,40.6,47.1,53.3,61.7,68.1,70.5,70.4,65.2,54.3,46.1,39.0,60.6,64.6,72.0,78.5,85.5,90.5,92.0,92.3,88.9,80.8,71.4,62.7
Southern California,"Los Angeles, CA",34.0536909,-118.2427666,15.32,0.0,47.8,49.3,51.0,53.5,57.1,60.3,63.6,64.1,63.1,58.7,52.0,47.5,68.2,68.6,70.2,72.7,74.5,78.1,83.1,84.4,83.1,78.5,72.8,67.7
Southern Illinois,"Carbondale, IL",37.7274692,-89.216655,47.17,1.15,23.0,26.2,34.6,44.3,54.6,63.6,67.3,64.3,55.3,43.7,35.6,25.9,41.8,46.9,57.1,68.3,77.0,85.6,89.0,88.7,81.6,70.3,57.7,45.0
Southern Methodist,"Dallas, TX",32.7762719,-96.7968559,40.55,0.1,37.3,41.1,48.5,56.2,65.4,72.8,76.7,76.8,69.0,58.2,47.6,38.5,56.8,60.8,68.7,76.7,84.2,91.6,96.0,96.4,88.7,78.5,67.1,57.5
Southern Miss,"Hattiesburg, MS",31.3271189,-89.2903392,61.59,0.05,37.3,40.2,46.8,52.6,61.7,68.3,71.6,70.8,65.9,54.5,45.0,39.6,59.9,63.4,71.3,78.0,85.6,89.9,92.1,92.2,87.7,79.5,70.0,61.8
Southern Oregon,"Ashland, OR",42.1972487,-122.7153995,25.7,1.6,28.9,29.7,31.9,34.9,40.7,45.8,50.1,49.0,42.7,35.9,31.7,28.7,49.2,54.0,58.3,63.5,70.9,78.7,87.7,87.0,80.4,68.0,53.5,47.6
Southern Utah,"Cedar City, UT",37.6774238,-113.0618277,15.45,36.84,16.6,20.5,25.9,31.6,39.4,47.8,56.2,54.9,44.9,33.5,23.3,16.1,41.6,46.1,54.3,61.6,72.2,83.3,89.9,87.4,78.8,65.8,51.8,41.6
Stanford,"Stanford, CA",37.427467,-122.1702445,39.28,0.01,38.5,40.6,43.1,44.7,48.7,52.4,55.1,54.9,52.5,48.1,42.4,38.0,58.4,61.6,65.7,69.7,74.3,78.4,79.6,79.4,79.5,74.0,64.8,58.3
Stillman,"Tuscaloosa, AL",33.2095614,-87.5675258,51.85,0.01,34.9,38.4,45.1,51.6,61.0,68.5,72.1,71.6,65.3,53.5,44.1,37.3,56.3,61.2,69.7,77.2,84.1,90.2,92.7,92.6,87.7,77.7,67.7,58.2
Syracuse,"Syracuse, NY",43.0481221,-76.1474244,43.01,10.66,16.8,17.7,25.7,36.7,47.5,57.8,62.7,61.0,53.9,43.0,34.0,23.2,31.7,34.5,42.4,57.0,68.5,77.5,81.6,80.5,72.6,60.3,49.0,37.2
TCU,"Fort Worth, TX",32.753177,-97.3327459,37.8,0.02,35.1,38.7,45.9,53.9,63.4,70.7,74.4,74.3,66.7,56.0,45.6,36.3,56.4,60.1,67.6,75.8,83.5,91.0,95.0,95.8,88.2,77.6,66.5,57.0
Temple,"Philadelphia, PA",39.9527237,-75.1635262,45.38,0.19,27.4,29.3,36.4,46.0,55.7,65.6,70.2,69.1,61.5,50.3,41.7,32.2,40.4,44.5,53.2,64.8,74.9,84.2,88.0,86.3,78.7,67.2,56.1,44.6
Tennessee,"Knoxville, TN",35.9603948,-83.9210261,45.75,0.89,27.2,29.6,36.1,43.7,53.4,62.6,66.8,65.5,58.2,46.0,36.3,29.7,47.0,51.6,61.0,69.8,77.6,84.9,87.8,87.5,82.1,71.5,60.4,49.5
Tennessee State,"Nashville, TN",36.1622296,-86.7743531,47.85,0.46,28.4,31.6,39.0,47.5,56.8,65.4,69.5,68.4,60.7,48.9,39.4,31.3,46.9,51.8,61.0,70.5,78.2,86.0,89.3,89.0,82.4,71.7,60.3,49.5
Tennessee Tech,"Cookeville, TN",36.1623886,-85.4997057,51.41,0.8,25.7,27.8,34.8,42.5,52.2,61.1,65.3,63.8,56.1,44.0,35.5,28.5,46.4,50.7,59.6,69.0,76.8,84.2,87.3,87.0,81.3,71.2,60.6,49.3
Tennessee-Martin,"Martin, TN",36.3433965,-88.850338,53.19,1.23,25.6,29.1,37.8,47.2,57.1,65.9,69.7,67.5,58.7,47.0,38.1,28.6,45.2,50.0,59.8,70.1,78.9,87.0,90.3,90.1,83.6,72.6,60.3,48.3
Texas,"Austin, TX",30.2711286,-97.7436995,34.64,0.04,41.5,44.8,51.3,58.6,66.7,72.3,74.4,74.6,69.4,60.6,50.6,42.3,61.5,65.2,72.2,79.8,86.5,92.1,95.6,97.0,90.5,81.8,71.4,62.7
